822,9366,9659,7911,9146,11152,9369,8833,8337,7937,13833,7076,13203,6952,7219,12994,12031,0,9640,6943,8883,7331,6858,449,12710,8196,1220,13630,7239,886,6944,12747,7138,12582,8531,7056,8648,16073,9933,11031,13289,7179,7029,8684,1033,6964,12637,7331,12543,12795,9125,7922,8515,11657,8170,8170,9385,8684,9275,9005,8744,13296,16257,8656,12409,8731,8731,7005,7110,11685,913,12451,9213,8786,7505,16354,986,13572,929,12409,8758,13159,292,8491,7177,8695,1070,13571,9091,7423,8415,12933,13227,8055,13347,12909,8539,8707,8267,6692,9100
827,640,628,2715,2618,2548,1139,1174,1931,2318,5229,4577,4599,4519,4343,4390,3427,9525,0,3891,1225,3207,3411,9867,4106,1665,9860,5025,4362,9632,3352,4142,4262,3978,5578,3798,5103,7468,999,2426,4684,3115,3698,5139,9827,4088,4032,3207,3939,4191,1034,2378,1727,3053,1928,1928,1158,5139,2748,2962,1361,4692,7653,927,3804,5177,5177,4519,4234,3080,9450,3847,3884,1128,3333,7749,9521,4968,9792,3804,861,4555,9578,4726,3599,5150,9718,4967,3833,3299,1525,4328,4623,1663,4743,4305,5577,5195,1691,4151,1509
831,3820,4106,1729,2769,5672,4134,3215,2401,1756,8353,1135,7723,1076,640,7513,6551,7028,4022,0,3265,626,734,7370,7229,2362,7363,8149,730,7136,821,7266,558,7102,1994,171,2111,5487,4434,5550,7808,1055,189,2147,7331,384,7156,626,7062,7314,3507,1741,3965,6177,2157,2157,4151,2147,2783,2295,4277,7816,10776,3103,6928,2194,2194,1077,531,6204,6953,6971,2503,3169,800,5398,7024,8091,7296,6928,3141,7678,7081,1955,468,2158,7221,8091,2452,718,4117,7452,7747,4048,7867,7429,2002,2170,4132,726,4506
850,1364,1418,1990,1893,3216,1678,63,1206,1593,5897,3852,5267,3794,3618,5057,4095,8800,1257,3166,0,2482,2686,9142,4773,940,9135,5693,3638,8907,2627,4810,3537,4646,4853,3073,4378,8136,1784,3094,5352,2390,2973,4414,9102,3363,4700,2482,4606,4859,742,1653,1738,3721,1203,1203,1695,4414,2023,2237,1821,5360,8320,606,4472,4453,4453,3794,3509,3748,8725,4515,3159,124,2608,8417,8796,5635,9067,4472,371,5222,8853,4001,2874,4425,8993,5635,3109,2574,1656,4996,5291,1938,5411,4973,4852,4470,1717,3426,2046
970,3191,3477,1070,2139,5043,3505,2586,1771,1096,7723,1707,7093,1649,1275,6884,5922,7401,3393,682,2636,0,831,7743,6600,1732,7736,7520,1366,7508,917,6637,1194,6472,2630,588,2747,9963,3804,4921,7179,670,489,2783,7704,1020,6527,0,6433,6685,2878,1081,3335,5547,1528,1528,3521,2783,2269,2004,3648,7186,10147,2474,6299,2830,2830,1650,1166,5575,7326,6341,2304,2540,236,5199,7397,7462,7669,6299,2511,7049,7454,2590,392,2794,7594,7462,2253,86,3498,6823,7117,3389,7238,6800,2638,2806,3503,1281,3873
978,3361,3647,1127,2576,5213,3675,2756,2038,1153,7894,1316,7263,1258,1267,7054,6092,6951,3563,807,2806,849,0,7293,6770,1903,7286,7690,1287,7058,83,6807,1186,6643,2579,713,2696,10133,3974,5091,7349,317,614,2732,7254,1012,6697,849,6603,6855,3048,1139,3505,5717,1698,1698,3691,2732,2706,2523,3818,7357,10317,2644,6469,2779,2779,1259,1158,5745,6876,6511,2731,2710,1023,10414,6947,7632,7219,6469,2681,7219,7004,2539,695,2743,7144,7632,2680,941,3658,6993,7287,3446,7408,6970,2587,2755,3659,869,4043
1015,9643,9935,8187,9422,11429,9645,9109,8614,8214,14110,7353,13479,7228,7496,13270,12308,399,9916,7220,9159,7607,7134,0,12986,8473,1590,13906,7515,1257,7221,13023,7414,12859,8807,7333,8924,16349,10210,11307,13565,7455,7306,8960,926,7240,12913,7607,12819,13071,9401,8199,8791,11933,8446,8446,9661,8960,9552,9281,9020,13573,16533,8932,12685,9007,9007,7282,7387,11961,1283,12727,9489,9063,7781,16630,1356,13848,1228,12685,9035,13435,381,8768,7453,8971,1440,13848,9368,7699,8692,13209,13503,8331,13624,13186,8815,8983,8544,6968,9377
1062,3667,3576,5916,6037,1575,3236,4820,5380,5583,1469,7841,838,7783,7608,554,1803,12656,4119,7156,4771,6471,6676,12998,0,5162,12991,1190,7627,12764,6617,197,7526,3460,8919,7062,8453,3633,3171,1720,924,6379,6963,8489,12959,7352,293,6471,264,2033,4712,5643,4550,2536,5212,5212,3252,8489,6167,6401,3832,932,4115,4290,587,8528,8528,7784,7499,2564,12581,633,7235,4774,6598,3914,12652,1132,12924,587,4505,730,12709,8077,6863,8500,12849,1207,7184,6563,4349,568,2048,4486,1533,470,8927,8546,4515,7415,3610
1106,1756,1900,1149,1074,3607,2069,919,266,727,6288,2986,5658,2927,2752,5449,4486,8147,1727,2300,970,1615,1820,8489,5165,0,8482,6084,2771,8255,1761,5201,2671,5037,3912,2206,3437,8527,2268,3485,5743,1523,2107,3473,8450,2496,5091,1615,4998,5250,1212,787,1900,4112,336,336,2086,3473,1204,1297,2213,5751,8712,1039,4863,3512,3512,2928,2643,4139,8072,4906,2219,873,1742,8808,8144,6027,8415,4863,845,5614,8200,3061,2008,3484,8340,6026,2168,1707,2052,5387,5682,2289,5802,5364,3912,3530,2067,2559,2437
1132,9660,9953,8205,9440,11447,9663,9127,8631,8231,14127,7034,13497,7105,7513,13288,12326,1154,9934,7238,9177,7625,7152,1572,13004,8490,0,13924,7533,547,7238,13041,7432,12876,8525,7351,8942,16367,10227,11325,13583,7473,7324,8978,2002,7258,12931,7625,12837,13089,9419,8216,8809,11951,8464,8464,9679,8978,9570,9299,9038,13590,16551,8950,12703,9025,9025,7077,7404,11979,576,12745,9507,9081,7799,16648,647,13866,571,12703,9052,13453,1407,8785,7471,8989,317,13866,9386,7717,8709,13227,13521,8349,13642,13204,8494,9001,8562,6986,9395
